HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Chelsea,Man City,H,1.4381270903010033,0.4845814977973569,4,1.7180616740088108,0.8026755852842808,6,3,6,1,2.38,3.4,3.2,1,0.6578947368421053,0.18421052631578946,0.15789473684210525,0.7105263157894737,0.13157894736842105,0.15789473684210525,-0.05263157894736836,0.05263157894736842,0.0,63,39,13,24,1,0,-0.27993458370780755,-0.31809408748692397,0,0,-1.75,7,12,-4,1.0,-3,-2,24,-11,3.0,2.0,3.0,1.0,0.4462954791892875,0.2522145216645745,0.2950452336076423,8,1
Sunderland,Newcastle,H,0.7023411371237459,1.1894273127753305,4,0.8810572687224669,1.0367892976588629,4,5,3,3,2.9,3.3,2.63,0,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.39473684210526316,0.10526315789473684,0.5,-0.13157894736842107,0.10526315789473684,0.02631578947368418,23,20,28,31,0,1,-0.17871613159872102,0.15263801511646768,0,2,1.75,9,3,-11,2.0,2,0,3,-3,17.0,15.0,15.0,10.0,0.4261780689619728,0.26795605982844656,0.3019060529644241,8,1
Swansea,West Ham,D,1.1036789297658862,1.145374449339207,5,0.6607929515418502,0.8361204013377928,4,9,6,2,1.75,3.8,5.25,0,0.2894736842105263,0.23684210526315788,0.47368421052631576,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.0,0.05263157894736842,-0.05263157894736842,25,15,26,25,1,1,0.44288597822403597,0.3092540480014143,0,2,1.75,9,3,2,-1.0,3,1,10,1,9.0,10.0,12.0,13.0,0.5124453781400663,0.2552230454175035,0.22666062425977684,8,0
Tottenham,Hull,H,1.0033444816053512,1.013215859030837,6,0.7929515418502202,1.0702341137123745,4,6,4,2,1.44,4.75,8.0,0,0.5526315789473685,0.15789473684210525,0.2894736842105263,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.2894736842105264,-0.02631578947368421,-0.26315789473684215,20,18,21,32,1,0,0.21039293975513096,-0.05701825468153743,1,0,2.5,9,1,32,-13.0,2,2,2,-11,5.0,18.0,6.0,16.0,0.5554409960335907,0.24593775307209217,0.19168271065755554,8,1
Arsenal,Liverpool,H,1.2040133779264213,0.4845814977973569,7,2.1145374449339207,1.0702341137123745,4,3,5,0,2.3,3.5,3.3,0,0.631578947368421,0.18421052631578946,0.18421052631578946,0.6842105263157895,0.15789473684210525,0.15789473684210525,-0.052631578947368474,0.02631578947368421,0.02631578947368421,53,48,18,32,0,1,-0.9105240670074994,-0.5856526159150177,1,1,2.25,12,7,-5,-3.0,-2,3,5,-14,4.0,7.0,4.0,2.0,0.41607718827941986,0.2107990889359436,0.3452718928768573,9,1
Fulham,Man United,A,0.8026755852842808,1.6740088105726874,6,1.5418502202643172,0.7357859531772576,4,4,4,0,6.5,4.2,1.57,1,0.23684210526315788,0.13157894736842105,0.631578947368421,0.5,0.18421052631578946,0.3157894736842105,-0.26315789473684215,-0.05263157894736842,0.3157894736842105,29,35,21,22,1,1,-0.7391746349800363,0.9382228573954298,0,1,-2.5,2,7,-32,11.0,0,2,-6,-1,12.0,1.0,19.0,7.0,0.1529300251634383,0.1852552173777416,0.6307626181616591,9,-1
Hull,Sunderland,H,0.6688963210702341,0.9251101321585904,2,0.8810572687224669,1.1036789297658862,1,4,2,0,2.15,3.4,3.8,1,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.0,-0.02631578947368421,0.026315789473684292,21,20,27,33,0,3,-0.2121609476522328,-0.17856879760729583,0,0,-2.75,1,9,-1,1.0,2,1,1,-6,18.0,17.0,16.0,15.0,0.44359713309033155,0.2839744727134541,0.26990459580389414,9,1
Man City,Norwich,H,2.1070234113712374,0.5726872246696035,9,0.4845814977973569,1.4715719063545152,1,10,3,0,1.2,7.5,18.0,0,0.7105263157894737,0.13157894736842105,0.15789473684210525,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.5,-0.10526315789473684,-0.3947368421052632,17,11,18,44,0,0,1.6224419135738806,-0.8988846816849116,1,2,4.0,12,1,53,-9.0,7,8,6,-26,2.0,11.0,1.0,18.0,0.7709191449018475,0.06693381426068527,0.0233348995332065,9,1
Newcastle,Chelsea,H,0.7692307692307693,1.2334801762114538,8,1.2334801762114538,0.5351170568561873,2,3,8,1,6.0,4.2,1.62,0,0.39473684210526316,0.10526315789473684,0.5,0.6578947368421053,0.18421052631578946,0.15789473684210525,-0.26315789473684215,-0.07894736842105263,0.34210526315789475,43,28,11,16,2,1,-0.4642494069806845,0.6983631193552665,1,1,-1.0,3,7,-33,12.0,-5,6,15,-5,15.0,3.0,10.0,3.0,0.13936473698590027,0.22797361593991108,0.6233892960340286,9,1
Stoke,Southampton,D,0.903010033444816,0.748898678414097,3,0.9691629955947137,0.7692307692307693,2,5,5,0,3.3,3.3,2.4,1,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.39473684210526316,0.2894736842105263,0.3157894736842105,-0.05263157894736842,0.0,0.05263157894736842,32,22,23,23,1,2,-0.06615296214989774,-0.02033209081667231,1,0,0.0,7,8,-6,-3.0,0,1,10,0,13.0,16.0,9.0,8.0,0.35520591526993794,0.278029004344741,0.3638924065115332,9,0
